Start,End,1,11,12
Fri Jan 26 08:30:00 2024,Fri Jan 26 09:00:00 2024,Capstone 2,Capstone 2 08:30 AM-11:30 AM ROOM: TBC,Capstone 2 08:30 AM-11:30 AM ROOM: TBC
Fri Jan 26 09:00:00 2024,Fri Jan 26 09:30:00 2024,Capstone 2,Capstone 2 08:30 AM-11:30 AM ROOM: TBC,Capstone 2 08:30 AM-11:30 AM ROOM: TBC
Fri Jan 26 09:30:00 2024,Fri Jan 26 10:00:00 2024,Capstone 2,Capstone 2 08:30 AM-11:30 AM ROOM: TBC,Capstone 2 08:30 AM-11:30 AM ROOM: TBC
Fri Jan 26 10:00:00 2024,Fri Jan 26 10:30:00 2024,Capstone 2,Capstone 2 08:30 AM-11:30 AM ROOM: TBC,Capstone 2 08:30 AM-11:30 AM ROOM: TBC
Fri Jan 26 10:30:00 2024,Fri Jan 26 11:00:00 2024,Capstone 2,Capstone 2 08:30 AM-11:30 AM ROOM: TBC,Capstone 2 08:30 AM-11:30 AM ROOM: TBC
Fri Jan 26 11:00:00 2024,Fri Jan 26 11:30:00 2024,Capstone 2,Capstone 2 08:30 AM-11:30 AM ROOM: TBC,Capstone 2 08:30 AM-11:30 AM ROOM: TBC
Fri Jan 26 11:30:00 2024,Fri Jan 26 12:00:00 2024,Deep Learning,Deep Learning 11:30 AM-01:30 PM ROOM: Think Tank 7 (1.409),
Fri Jan 26 12:00:00 2024,Fri Jan 26 12:30:00 2024,Deep Learning,Deep Learning 11:30 AM-01:30 PM ROOM: Think Tank 7 (1.409),
Fri Jan 26 12:30:00 2024,Fri Jan 26 13:00:00 2024,Deep Learning,Deep Learning 11:30 AM-01:30 PM ROOM: Think Tank 7 (1.409),
Fri Jan 26 13:00:00 2024,Fri Jan 26 13:30:00 2024,Deep Learning,Deep Learning 11:30 AM-01:30 PM ROOM: Think Tank 7 (1.409),
Fri Jan 26 13:30:00 2024,Mon Jan 29 09:00:00 2024,FREE,FREE,FREE
Mon Jan 29 09:00:00 2024,Mon Jan 29 09:30:00 2024,Deep Learning,Deep Learning 09:00 AM-10:30 AM ROOM: Think Tank 7 (1.409),Database Systems 09:00 AM-10:30 AM ROOM: Lecture Theatre 5 (2.505)
Mon Jan 29 09:30:00 2024,Mon Jan 29 10:00:00 2024,Deep Learning,Deep Learning 09:00 AM-10:30 AM ROOM: Think Tank 7 (1.409),Database Systems 09:00 AM-10:30 AM ROOM: Lecture Theatre 5 (2.505)
Mon Jan 29 10:00:00 2024,Mon Jan 29 10:30:00 2024,Deep Learning,Deep Learning 09:00 AM-10:30 AM ROOM: Think Tank 7 (1.409),Database Systems 09:00 AM-10:30 AM ROOM: Lecture Theatre 5 (2.505)
Mon Jan 29 10:30:00 2024,Mon Jan 29 11:00:00 2024,Programming Language Concepts,Programming Language Concepts 10:30 AM-12:00 PM ROOM: Lecture Theat,Programming Language Concepts 10:30 AM-12:00 PM ROOM: Lecture Theat
Mon Jan 29 11:00:00 2024,Mon Jan 29 11:30:00 2024,Programming Language Concepts,Programming Language Concepts 10:30 AM-12:00 PM ROOM: Lecture Theat,Programming Language Concepts 10:30 AM-12:00 PM ROOM: Lecture Theat
Mon Jan 29 11:30:00 2024,Mon Jan 29 12:00:00 2024,Programming Language Concepts,Programming Language Concepts 10:30 AM-12:00 PM ROOM: Lecture Theat,Programming Language Concepts 10:30 AM-12:00 PM ROOM: Lecture Theat
Mon Jan 29 12:00:00 2024,Mon Jan 29 15:00:00 2024,FREE,FREE,FREE
Mon Jan 29 15:00:00 2024,Mon Jan 29 15:30:00 2024,,International Trade 03:00 PM-06:00 PM ROOM: Think Tank 9 (1.415),International Trade 03:00 PM-06:00 PM ROOM: Think Tank 9 (1.415)
Mon Jan 29 15:30:00 2024,Mon Jan 29 16:00:00 2024,,International Trade 03:00 PM-06:00 PM ROOM: Think Tank 9 (1.415),International Trade 03:00 PM-06:00 PM ROOM: Think Tank 9 (1.415)
Mon Jan 29 16:00:00 2024,Mon Jan 29 16:30:00 2024,,International Trade 03:00 PM-06:00 PM ROOM: Think Tank 9 (1.415),International Trade 03:00 PM-06:00 PM ROOM: Think Tank 9 (1.415)
Mon Jan 29 16:30:00 2024,Mon Jan 29 17:00:00 2024,,International Trade 03:00 PM-06:00 PM ROOM: Think Tank 9 (1.415),International Trade 03:00 PM-06:00 PM ROOM: Think Tank 9 (1.415)
Mon Jan 29 17:00:00 2024,Mon Jan 29 17:30:00 2024,,International Trade 03:00 PM-06:00 PM ROOM: Think Tank 9 (1.415),International Trade 03:00 PM-06:00 PM ROOM: Think Tank 9 (1.415)
Mon Jan 29 17:30:00 2024,Mon Jan 29 18:00:00 2024,,International Trade 03:00 PM-06:00 PM ROOM: Think Tank 9 (1.415),International Trade 03:00 PM-06:00 PM ROOM: Think Tank 9 (1.415)
Mon Jan 29 18:00:00 2024,Tue Jan 30 09:00:00 2024,FREE,FREE,FREE
Tue Jan 30 09:00:00 2024,Tue Jan 30 09:30:00 2024,Deep Learning,Deep Learning 09:00 AM-10:30 AM ROOM: Think Tank 7 (1.409),
Tue Jan 30 09:30:00 2024,Tue Jan 30 10:00:00 2024,Deep Learning,Deep Learning 09:00 AM-10:30 AM ROOM: Think Tank 7 (1.409),
Tue Jan 30 10:00:00 2024,Tue Jan 30 10:30:00 2024,Deep Learning,Deep Learning 09:00 AM-10:30 AM ROOM: Think Tank 7 (1.409),
Tue Jan 30 10:30:00 2024,Tue Jan 30 11:00:00 2024,,,Database Systems 10:30 AM-12:00 PM ROOM: Lecture Theatre 5 (2.505)
Tue Jan 30 11:00:00 2024,Tue Jan 30 11:30:00 2024,,,Database Systems 10:30 AM-12:00 PM ROOM: Lecture Theatre 5 (2.505)
Tue Jan 30 11:30:00 2024,Tue Jan 30 12:00:00 2024,,,Database Systems 10:30 AM-12:00 PM ROOM: Lecture Theatre 5 (2.505)
Tue Jan 30 12:00:00 2024,Tue Jan 30 13:30:00 2024,FREE,FREE,FREE
Tue Jan 30 13:30:00 2024,Tue Jan 30 14:00:00 2024,Programming Language Concepts,Programming Language Concepts 01:30 PM-03:00 PM ROOM: Think Tank 4 ,Programming Language Concepts 01:30 PM-03:00 PM ROOM: Think Tank 4 
Tue Jan 30 14:00:00 2024,Tue Jan 30 14:30:00 2024,Programming Language Concepts,Programming Language Concepts 01:30 PM-03:00 PM ROOM: Think Tank 4 ,Programming Language Concepts 01:30 PM-03:00 PM ROOM: Think Tank 4 
Tue Jan 30 14:30:00 2024,Tue Jan 30 15:00:00 2024,Programming Language Concepts,Programming Language Concepts 01:30 PM-03:00 PM ROOM: Think Tank 4 ,Programming Language Concepts 01:30 PM-03:00 PM ROOM: Think Tank 4 
Tue Jan 30 15:00:00 2024,Wed Jan 31 10:30:00 2024,FREE,FREE,FREE
Wed Jan 31 10:30:00 2024,Wed Jan 31 11:00:00 2024,Capstone 2,Capstone 2 10:30 AM-01:30 PM ROOM: TBC,Capstone 2 10:30 AM-01:30 PM ROOM: TBC
Wed Jan 31 11:00:00 2024,Wed Jan 31 11:30:00 2024,Capstone 2,Capstone 2 10:30 AM-01:30 PM ROOM: TBC,Capstone 2 10:30 AM-01:30 PM ROOM: TBC
Wed Jan 31 11:30:00 2024,Wed Jan 31 12:00:00 2024,Capstone 2,Capstone 2 10:30 AM-01:30 PM ROOM: TBC,Capstone 2 10:30 AM-01:30 PM ROOM: TBC
Wed Jan 31 12:00:00 2024,Wed Jan 31 12:30:00 2024,Capstone 2,Capstone 2 10:30 AM-01:30 PM ROOM: TBC,Capstone 2 10:30 AM-01:30 PM ROOM: TBC
Wed Jan 31 12:30:00 2024,Wed Jan 31 13:00:00 2024,Capstone 2,Capstone 2 10:30 AM-01:30 PM ROOM: TBC,Capstone 2 10:30 AM-01:30 PM ROOM: TBC
Wed Jan 31 13:00:00 2024,Wed Jan 31 13:30:00 2024,Capstone 2,Capstone 2 10:30 AM-01:30 PM ROOM: TBC,Capstone 2 10:30 AM-01:30 PM ROOM: TBC
Wed Jan 31 13:30:00 2024,Thu Feb  1 08:30:00 2024,FREE,FREE,FREE
Thu Feb  1 08:30:00 2024,Thu Feb  1 09:00:00 2024,Design in the Anthropocene,,
Thu Feb  1 09:00:00 2024,Thu Feb  1 09:30:00 2024,Design in the Anthropocene,,
Thu Feb  1 09:30:00 2024,Thu Feb  1 10:00:00 2024,Design in the Anthropocene,,
Thu Feb  1 10:00:00 2024,Thu Feb  1 10:30:00 2024,Design in the Anthropocene,,
Thu Feb  1 10:30:00 2024,Thu Feb  1 11:00:00 2024,Design in the Anthropocene,,
Thu Feb  1 11:00:00 2024,Thu Feb  1 11:30:00 2024,Design in the Anthropocene,,
Thu Feb  1 11:30:00 2024,Thu Feb  1 12:00:00 2024,Programming Language Concepts,Programming Language Concepts 11:30 AM-01:30 PM ROOM: Think Tank 4 ,Programming Language Concepts 11:30 AM-01:30 PM ROOM: Think Tank 4 
Thu Feb  1 12:00:00 2024,Thu Feb  1 12:30:00 2024,Programming Language Concepts,Programming Language Concepts 11:30 AM-01:30 PM ROOM: Think Tank 4 ,Programming Language Concepts 11:30 AM-01:30 PM ROOM: Think Tank 4 
Thu Feb  1 12:30:00 2024,Thu Feb  1 13:00:00 2024,Programming Language Concepts,Programming Language Concepts 11:30 AM-01:30 PM ROOM: Think Tank 4 ,Programming Language Concepts 11:30 AM-01:30 PM ROOM: Think Tank 4 
Thu Feb  1 13:00:00 2024,Thu Feb  1 13:30:00 2024,Programming Language Concepts,Programming Language Concepts 11:30 AM-01:30 PM ROOM: Think Tank 4 ,Programming Language Concepts 11:30 AM-01:30 PM ROOM: Think Tank 4 
Thu Feb  1 13:30:00 2024,Thu Feb  1 16:00:00 2024,FREE,FREE,FREE
Thu Feb  1 16:00:00 2024,Thu Feb  1 16:30:00 2024,,,Database Systems 04:00 PM-06:00 PM ROOM: Cohort Classroom 14 (2.507
Thu Feb  1 16:30:00 2024,Thu Feb  1 17:00:00 2024,,,Database Systems 04:00 PM-06:00 PM ROOM: Cohort Classroom 14 (2.507
Thu Feb  1 17:00:00 2024,Thu Feb  1 17:30:00 2024,,,Database Systems 04:00 PM-06:00 PM ROOM: Cohort Classroom 14 (2.507
Thu Feb  1 17:30:00 2024,Thu Feb  1 18:00:00 2024,,,Database Systems 04:00 PM-06:00 PM ROOM: Cohort Classroom 14 (2.507
Thu Feb  1 18:00:00 2024,Fri Feb  2 08:30:00 2024,FREE,FREE,FREE
Fri Feb  2 08:30:00 2024,Fri Feb  2 09:00:00 2024,Capstone 2,Capstone 2 08:30 AM-11:30 AM ROOM: TBC,Capstone 2 08:30 AM-11:30 AM ROOM: TBC
Fri Feb  2 09:00:00 2024,Fri Feb  2 09:30:00 2024,Capstone 2,Capstone 2 08:30 AM-11:30 AM ROOM: TBC,Capstone 2 08:30 AM-11:30 AM ROOM: TBC
Fri Feb  2 09:30:00 2024,Fri Feb  2 10:00:00 2024,Capstone 2,Capstone 2 08:30 AM-11:30 AM ROOM: TBC,Capstone 2 08:30 AM-11:30 AM ROOM: TBC
Fri Feb  2 10:00:00 2024,Fri Feb  2 10:30:00 2024,Capstone 2,Capstone 2 08:30 AM-11:30 AM ROOM: TBC,Capstone 2 08:30 AM-11:30 AM ROOM: TBC
Fri Feb  2 10:30:00 2024,Fri Feb  2 11:00:00 2024,Capstone 2,Capstone 2 08:30 AM-11:30 AM ROOM: TBC,Capstone 2 08:30 AM-11:30 AM ROOM: TBC
Fri Feb  2 11:00:00 2024,Fri Feb  2 11:30:00 2024,Capstone 2,Capstone 2 08:30 AM-11:30 AM ROOM: TBC,Capstone 2 08:30 AM-11:30 AM ROOM: TBC
Fri Feb  2 11:30:00 2024,Fri Feb  2 12:00:00 2024,Deep Learning,Deep Learning 11:30 AM-01:30 PM ROOM: Think Tank 7 (1.409),
Fri Feb  2 12:00:00 2024,Fri Feb  2 12:30:00 2024,Deep Learning,Deep Learning 11:30 AM-01:30 PM ROOM: Think Tank 7 (1.409),
Fri Feb  2 12:30:00 2024,Fri Feb  2 13:00:00 2024,Deep Learning,Deep Learning 11:30 AM-01:30 PM ROOM: Think Tank 7 (1.409),
Fri Feb  2 13:00:00 2024,Fri Feb  2 13:30:00 2024,Deep Learning,Deep Learning 11:30 AM-01:30 PM ROOM: Think Tank 7 (1.409),
Fri Feb  2 13:30:00 2024,Mon Feb  5 09:00:00 2024,FREE,FREE,FREE
Mon Feb  5 09:00:00 2024,Mon Feb  5 09:30:00 2024,Deep Learning,Deep Learning 09:00 AM-10:30 AM ROOM: Think Tank 7 (1.409),Database Systems 09:00 AM-10:30 AM ROOM: Lecture Theatre 5 (2.505)
Mon Feb  5 09:30:00 2024,Mon Feb  5 10:00:00 2024,Deep Learning,Deep Learning 09:00 AM-10:30 AM ROOM: Think Tank 7 (1.409),Database Systems 09:00 AM-10:30 AM ROOM: Lecture Theatre 5 (2.505)
Mon Feb  5 10:00:00 2024,Mon Feb  5 10:30:00 2024,Deep Learning,Deep Learning 09:00 AM-10:30 AM ROOM: Think Tank 7 (1.409),Database Systems 09:00 AM-10:30 AM ROOM: Lecture Theatre 5 (2.505)
Mon Feb  5 10:30:00 2024,Mon Feb  5 11:00:00 2024,Programming Language Concepts,Programming Language Concepts 10:30 AM-12:00 PM ROOM: Lecture Theat,Programming Language Concepts 10:30 AM-12:00 PM ROOM: Lecture Theat
Mon Feb  5 11:00:00 2024,Mon Feb  5 11:30:00 2024,Programming Language Concepts,Programming Language Concepts 10:30 AM-12:00 PM ROOM: Lecture Theat,Programming Language Concepts 10:30 AM-12:00 PM ROOM: Lecture Theat
Mon Feb  5 11:30:00 2024,Mon Feb  5 12:00:00 2024,Programming Language Concepts,Programming Language Concepts 10:30 AM-12:00 PM ROOM: Lecture Theat,Programming Language Concepts 10:30 AM-12:00 PM ROOM: Lecture Theat
Mon Feb  5 12:00:00 2024,Mon Feb  5 15:00:00 2024,FREE,FREE,FREE
Mon Feb  5 15:00:00 2024,Mon Feb  5 15:30:00 2024,,International Trade 03:00 PM-06:00 PM ROOM: Think Tank 9 (1.415),International Trade 03:00 PM-06:00 PM ROOM: Think Tank 9 (1.415)
Mon Feb  5 15:30:00 2024,Mon Feb  5 16:00:00 2024,,International Trade 03:00 PM-06:00 PM ROOM: Think Tank 9 (1.415),International Trade 03:00 PM-06:00 PM ROOM: Think Tank 9 (1.415)
Mon Feb  5 16:00:00 2024,Mon Feb  5 16:30:00 2024,,International Trade 03:00 PM-06:00 PM ROOM: Think Tank 9 (1.415),International Trade 03:00 PM-06:00 PM ROOM: Think Tank 9 (1.415)
Mon Feb  5 16:30:00 2024,Mon Feb  5 17:00:00 2024,,International Trade 03:00 PM-06:00 PM ROOM: Think Tank 9 (1.415),International Trade 03:00 PM-06:00 PM ROOM: Think Tank 9 (1.415)
Mon Feb  5 17:00:00 2024,Mon Feb  5 17:30:00 2024,,International Trade 03:00 PM-06:00 PM ROOM: Think Tank 9 (1.415),International Trade 03:00 PM-06:00 PM ROOM: Think Tank 9 (1.415)
Mon Feb  5 17:30:00 2024,Mon Feb  5 18:00:00 2024,,International Trade 03:00 PM-06:00 PM ROOM: Think Tank 9 (1.415),International Trade 03:00 PM-06:00 PM ROOM: Think Tank 9 (1.415)
Mon Feb  5 18:00:00 2024,Tue Feb  6 09:00:00 2024,FREE,FREE,FREE
Tue Feb  6 09:00:00 2024,Tue Feb  6 09:30:00 2024,Deep Learning,Deep Learning 09:00 AM-10:30 AM ROOM: Think Tank 7 (1.409),
Tue Feb  6 09:30:00 2024,Tue Feb  6 10:00:00 2024,Deep Learning,Deep Learning 09:00 AM-10:30 AM ROOM: Think Tank 7 (1.409),
Tue Feb  6 10:00:00 2024,Tue Feb  6 10:30:00 2024,Deep Learning,Deep Learning 09:00 AM-10:30 AM ROOM: Think Tank 7 (1.409),
Tue Feb  6 10:30:00 2024,Tue Feb  6 11:00:00 2024,,,Database Systems 10:30 AM-12:00 PM ROOM: Lecture Theatre 5 (2.505)
Tue Feb  6 11:00:00 2024,Tue Feb  6 11:30:00 2024,,,Database Systems 10:30 AM-12:00 PM ROOM: Lecture Theatre 5 (2.505)
Tue Feb  6 11:30:00 2024,Tue Feb  6 12:00:00 2024,,,Database Systems 10:30 AM-12:00 PM ROOM: Lecture Theatre 5 (2.505)
Tue Feb  6 12:00:00 2024,Tue Feb  6 13:30:00 2024,FREE,FREE,FREE
Tue Feb  6 13:30:00 2024,Tue Feb  6 14:00:00 2024,Programming Language Concepts,Programming Language Concepts 01:30 PM-03:00 PM ROOM: Think Tank 4 ,Programming Language Concepts 01:30 PM-03:00 PM ROOM: Think Tank 4 
Tue Feb  6 14:00:00 2024,Tue Feb  6 14:30:00 2024,Programming Language Concepts,Programming Language Concepts 01:30 PM-03:00 PM ROOM: Think Tank 4 ,Programming Language Concepts 01:30 PM-03:00 PM ROOM: Think Tank 4 
Tue Feb  6 14:30:00 2024,Tue Feb  6 15:00:00 2024,Programming Language Concepts,Programming Language Concepts 01:30 PM-03:00 PM ROOM: Think Tank 4 ,Programming Language Concepts 01:30 PM-03:00 PM ROOM: Think Tank 4 
Tue Feb  6 15:00:00 2024,Wed Feb  7 10:30:00 2024,FREE,FREE,FREE
Wed Feb  7 10:30:00 2024,Wed Feb  7 11:00:00 2024,Capstone 2,Capstone 2 10:30 AM-01:30 PM ROOM: TBC,Capstone 2 10:30 AM-01:30 PM ROOM: TBC
Wed Feb  7 11:00:00 2024,Wed Feb  7 11:30:00 2024,Capstone 2,Capstone 2 10:30 AM-01:30 PM ROOM: TBC,Capstone 2 10:30 AM-01:30 PM ROOM: TBC
Wed Feb  7 11:30:00 2024,Wed Feb  7 12:00:00 2024,Capstone 2,Capstone 2 10:30 AM-01:30 PM ROOM: TBC,Capstone 2 10:30 AM-01:30 PM ROOM: TBC
Wed Feb  7 12:00:00 2024,Wed Feb  7 12:30:00 2024,Capstone 2,Capstone 2 10:30 AM-01:30 PM ROOM: TBC,Capstone 2 10:30 AM-01:30 PM ROOM: TBC
Wed Feb  7 12:30:00 2024,Wed Feb  7 13:00:00 2024,Capstone 2,Capstone 2 10:30 AM-01:30 PM ROOM: TBC,Capstone 2 10:30 AM-01:30 PM ROOM: TBC
Wed Feb  7 13:00:00 2024,Wed Feb  7 13:30:00 2024,Capstone 2,Capstone 2 10:30 AM-01:30 PM ROOM: TBC,Capstone 2 10:30 AM-01:30 PM ROOM: TBC
Wed Feb  7 13:30:00 2024,Thu Feb  8 08:30:00 2024,FREE,FREE,FREE
Thu Feb  8 08:30:00 2024,Thu Feb  8 09:00:00 2024,Design in the Anthropocene,,
Thu Feb  8 09:00:00 2024,Thu Feb  8 09:30:00 2024,Design in the Anthropocene,,
Thu Feb  8 09:30:00 2024,Thu Feb  8 10:00:00 2024,Design in the Anthropocene,,
Thu Feb  8 10:00:00 2024,Thu Feb  8 10:30:00 2024,Design in the Anthropocene,,
